Site name, Latitude, Longitude, Site type, Trust name, Is hub?
Newham General Hospital,51.5222415,0.0325405,Hospital,Barts Health NHS Trust,
Mile End Hospital,51.5250734,-0.0421445,Hospital,Barts Health NHS Trust,y
The Royal London Hospital,51.5148198,-0.0650534,Hospital,Barts Health NHS Trust,
St Bartholomew's Hospital,51.517496,-0.1000463,Hospital,Barts Health NHS Trust,
London Euston Bupa Health Centre,51.526853,-0.138971,Health Centre,Bupa,
London West End Bupa Health and Dental Centre,51.507218,-0.127586,Health Centre,Bupa,y
London Chancery Lane Bupa Health and Dental Centre,51.514274,-0.111315,Health Centre,Bupa,
Royal Brompton Hospital,51.4891103,-0.1701254,Hospital,Guy's and St Thomas' NHS Foundation Trust,
Guy's Hospital,51.5032127,-0.0870414,Hospital,Guy's and St Thomas' NHS Foundation Trust,
St Thomas' Hospital,51.4991539,-0.1188859,Hospital,Guy's and St Thomas' NHS Foundation Trust,y
